" Copy","复制"
"Action","操作"
"Add New Template","增加新的模板"
"Add to Queue","添加到队列"
"Allow Guest Subscription","允许游客提交" 
"An error occurred while saving your subscription.","保存订阅时发生错误。"
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip all tags?","您确认要删除所有标签吗？"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Cannot mark as received subscriber.","不能标记为已订阅人"
"Confirmation Email Sender","确认邮件的发件人"
"Confirmation Email Template","确认邮件的模板"
"Confirmation request has been sent.","确认邮件已发出"
"Convert to Plain Text","转换为纯文本"
"Create Newsletter Template","新建邮件列表模板"
"Customer","客户"
"Customer First Name","客户名字"
"Customer Last Name","客户姓氏"
"Customer My Account Newsletter Subscriptions","自定义我的账户的电子邮件杂志订阅"
"Date Added","加入日期"
"Date Updated","更新日期"
"Delete","删除"
"Delete Selected Problems","删除选择的"
"Delete Template","删除模板"
"Do you really want to cancel the queue?","您确认要取消队列吗？"
"Duplicate template code.","模板代码重复"
"Edit Newsletter","修改邮件列表"
"Edit Newsletter Template","修改邮件列表模板"
"Edit Queue","修改队列"
"Edit Template","修改模板"
"Email","电子邮件"
"Enter your email address","输入您的Email地址"
"Error Code","错误代码"
"Error Text","错误文字"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","取消订阅链接 <!-- 该标签为取消订阅链接  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","访客"
"ID","编号"
"Invalid queue selected","选择的队列不正确"
"Invalid subscription ID","订阅编号不正确"
"Invalid subscription confirmation code.","订阅确认码不正确"
"Message","内容"
"Need to Confirm","需要确认"
"New Newsletter Template","新增邮件列表模板"
"New Template","新建模板"
"Newsletter","邮件订阅"
"Newsletter Message Preview","邮件列表内容预览"
"Newsletter Problem Reports","邮件列表错误报告"
"Newsletter Queue","邮件列表队列"
"Newsletter Section","邮件列表单元"
"Newsletter Sign-up","邮件列表注册"
"Newsletter Styles","邮件列表样式"
"Newsletter Subscribers","邮件列表订阅人"
"Newsletter Subscription","邮件列表订阅"
"Newsletter Subscription Form Before","邮件订阅之前"
"Newsletter Subscriptions","邮件列表订阅"
"Newsletter Templates","邮件列表模板"
"Newsletter subscription confirmation","邮件列表订阅确认"
"Newsletter subscription success","邮件列表订阅成功"
"Newsletter unsubscription success","邮件列表退订成功"
"No Templates Found","没有找到模板"
"No problems found","没有找到问题"
"No subscribers selected.","没有选择订阅人"
"Not Activated","未激活"
"Not Sent","未发送"
"Pause","暂停"
"Paused","暂停"
"Please enter a valid email address.","请输入正确的邮件地址"
"Please enter new template name","请输入新的模板名"
"Please select subscriber(s)","请选择订阅人"
"Preview","预览"
"Preview Template","预览模板"
"Processed","已处理"
"Queue Date Start","队列日期开始"
"Queue Finish","队列结束"
"Queue Information","队列信息"
"Queue Newsletter","队列邮件列表"
"Queue Start","队列开始"
"Queue Subject","队列主题"
"Recipients","收件人"
"Reset","重置"
"Resume","继续"
"Return HTML Version","返回Html版本"
"Save And Resume","保存并继续"
"Save As","另存为"
"Save Newsletter","保存邮件列表"
"Save Template","保存模版"
"Selected problem subscribers have been unsubscribed.","成功退订选择的有问题的订阅人"
"Selected problems have been deleted.","成功删除选择的问题"
"Sender","发件人"
"Sender Email","发件人邮件"
"Sender Name","发件人姓名"
"Sending","正在发送"
"Sent","已发送"
"Sign Up for Our Newsletter:","订阅邮件列表："
"Sign up for our newsletter:","订阅我们的邮件杂志:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","抱歉，游客不能直接订阅，请点击<a href=""%s"">注册</a>."
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Subject","主题"
"Submit","发送"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅人"
"Subscribers","订阅人"
"Subscribers From","订阅表单"
"Subscription Options","订阅选项"
"Success Email Sender","订阅成功的邮件发送人"
"Success Email Template","订阅成功的邮件模板"
"Template Content","模板内容"
"Template Information","模板信息"
"Template Name","模板名称"
"Template Styles","模板样式"
"Template Subject","模板主题"
"Template Type","模板类型"
"Thank you for your subscription.","感谢您的订阅"
"The subscription has been removed.","已删除订阅"
"The subscription has been saved.","成功保存订阅"
"There was a problem with the subscription.","订阅出现问题"
"There was a problem with the subscription: %s","订阅出现问题：%s"
"There was a problem with the un-subscription.","退订出现问题。"
"This email address is already assigned to another user.","email地址已经使用。"
"Type","类型"
"Unconfirmed","未验证"
"Unsubscribe","退订"
"Unsubscribe Selected","退订已选"
"Unsubscribed","已退订"
"Unsubscription Email Sender","退订邮件的发件人"
"Unsubscription Email Template","退订邮件的模板"
"View Newsletter","查看邮件列表"
"Website","网站"
"You have been unsubscribed.","您已成功退订。"
"Your subscription has been confirmed.","您的订阅已确认"