"--Please Select--","--请选择--"
"3D Secure Card Validation","3D安全验证"
"3D Secure Credit Card Validation","信用卡3D验证"
"<label>Make Check payable to:</label> %s","<label>支票收款人</label> %s"
"<label>Make Check payable to</label>: %s","<label>支票收款人</label>：%s"
"Automatically invoice all items","自动忽略所有条项"
"Automatically Invoice All Items","自动忽略所有条项"
"Can not configuration for payment method with code: %s","无法设置支付方式代码：%s"
"Can not retrieve payment info model object.","无法获取支付信息模块对象。"
"Can not retrieve payment method instance","无法获取支付方式实例"
"Can not retrieve payment method model object.","无法获取支付方式模块对象。"
"Card Verification Number","信用卡校验号"
"Centinel API URL","API地址标识"
"Check / Money order","支票/汇票"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码: xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Card Types","信用卡类型"
"Enabled","启用"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"Issue Number","问题编号"
"Make Check payable to","支票收款人"
"Make Check payable to: %s","支票收款人：%s"
"Maximum Order Total","最高订单金额"
"Merchant Id","商家Id"
"Minimum Order Total","最低订单金额"
"Month","月份"
"N/A","不可用"
"Name on Card","持卡人姓名"
"Name on the Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"New order status","新订单状态"
"New Order Status","新订单状态"
"Not supported currency code %s.","不支持的货币代码 %s."
"Overrides API URL that may be specified by a Payment Method","重写API的网址可能是由指定的付款方式"
"Password","密码"
"Payment ID: %s","支付网关ID: %s"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式单元"
"Payment Services","支付网关服务"
"Payment from Specific countries","指定国家支付"
"Payment from applicable countries","适用国家支付"
"Processor Id","流水号"
"Purchase Order Number","购货合同号"
"Purchase Order Number: %s","购货合同号：%s"
"Purchase order","购货合同"
"Request Card Security Code","请求信用卡安全代码"
"Saved CC","已保存CC"
"Send Check to","支票寄给"
"Send Check to:","支票寄给："
"Severe 3D Secure Card Validation","3D信用卡验证加强"
"Sort order","排序"
"Sort Order","排序"
"Start Date","开始时间"
"Switch/Solo Issue Number","Switch/Solo Issue Number"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo Start Date","Switch/Solo Start Date"
"Test Mode","测试模式"
"Title","标题"
"What is this?","这是什么？"
"Year","年份"
"Payment from Applicable Countries","允许使用该支付方式的国家"
"Payment from Specific Countries","具体可支付的国家"
"Zero Subtotal Checkout","零金额结帐"
"Free","零金额结账"
"Cod","货到付款"
"Cash","现金"
"Pos","POS刷卡"
"Payment Types","支付类型"
"Cod type is not allowed for this payment method.","货到付款类型是不允许这种付款方式。"
"Offline Payment Methods","离线付款方式"