"%s","%s"
"-- Please Select --","-- 请选择 --"
"Actions","操作"
"Add Layout Update","添加位置"
"Add New Widget Instance","新建动态块"
"All","所有"
"All Pages","所有页面"
"All Product Types","全部商品类型"
"Anchor Categories","固定分类"
"Assign to Store Views","分配到前台"
"Big Image","大图"
"Block Reference","位置"
"CMS","内容管理"
"Categories","分类"
"Choose...","选择..."
"Close","关闭"
"Continue","继续"
"Default Template","默认模板"
"Delete","删除"
"Design Package/Theme","模板"
"Display On","显示于"
"Export to:","导出到:"
"Frontend Properties","常规"
"Generic Pages","通用页"
"If empty, the Category Name will be used","如果为空,将使用类别名称"
"Images","图片"
"Insert Widget","插入部件"
"Layout Updates","位置"
"Manage Widget Instances","动态块"
"New Instance","新实例"
"New Widget Instance","新动态块"
"Next page","下一页"
"Non-Anchor Categories","动态分类"
"Not Selected","未选中"
"Number of Products to display","显示商品的数目"
"Page","页面"
"Please Select Block Reference First","请先选择参考块"
"Previous page","前一页"
"Products","商品"
"Remove Layout Update","删除位置"
"Save and Continue Edit","保存并继续修改"
"Select All","全选"
"Select Visible","选择可见"
"Settings","设置"
"Sort Order","顺序"
"Sort Order of widget instances in the same block reference",""
"Specific %s","指定 %s"
"Specified Page","指定的页"
"Template","样式"
"The information in this tab has been changed.","在此标签的信息已被更改."
"This tab contains invalid data. Please solve the problem before saving.","此标签包含无效数据。请保存前解决问题."
"Thumbnail","缩略图"
"Total %d records found","共找到 %d 条记录"
"Type","类型"
"Unselect All","取消全选"
"Unselect Visible","取消选择可见"
"View","查看"
"Widget","部件"
"Widget ""%s""","部件 ""%s"""
"Widget ID","编号"
"Widget Instance","动态块"
"Widget Instance Title","标题"
"Widget Options","选项"
"Widget Type","动态块类型"
"Widget Type is not specified","未指定动态块类型"
"Widget instance has been successfully deleted.","成功删除动态块."
"Widget instance has been successfully saved.","成功保存动态块."
"Widget instance is not full complete to create.","动态块没有完成创建."
"Widgets","动态块"
"Wrong wigdet instance specified.","错误的动态块类型."
"items selected","项目选定"
"of %s pages","共 %s 页"
"per page","每页"