"Order Export","导出订单"
"Export","导出"
"Export type","文件格式"
"Starting number","起始订单号"
"Ending number","结束订单号"
"Date Range from","日起开始于"
"Date Range to","日期结束于"
"Start download after export","导出后开始下载"
"Exported orders","已导出订单"
"Last order id is %d [<a href=""#"" onclick=""$(\'start\').value=\'%d\';return false;"">use</a>], last exported order id is %d [<a href=""#"" onclick=""$(\'start\').value=\'%d\';return false;"">use</a>]","最近一次订单编号是 %d [<a href=""#"" onclick=""$(\'start\').value=\'%d\';return false;"">use</a>], 最近一次导出订单号是 %d [<a href=""#"" onclick=""$(\'start\').value=\'%d\';return false;"">use</a>]"
"from the beginning","从最初开始"
"All","全部"
"Go to XSL markup tester","转到XSL测试"
"Go to settings section","转到设置"
"Export orders","导出订单"
"Admin","管理"
"Order Export - Settings","订单导出 - 设置"
"Base Directory","根目录"
"Default Type","默认类型"
"Auto export after order confirmation?","订单确认后自动导出？"
"Enable cron job export?","允许定时任务方式导出？"
"Enable output escaping?","允许输出过滤？"
"Change order status after export?","导出后更新订单状态？"
"XML: XSL template","XML: XSL 模板"
"CSV: XSL template","CSV: XSL 模板"
"Custom: XSL template","自定义: XSL 模板"
"Order Export - FTP upload","订单导出 - FTP上传"
"Set status to downloaded after successful FTP upload?","成功上传FTP后设状态为已下载？"
"FTP-Server: IP / Hostname","FTP服务器 - IP/主机名"
"FTP-Server: Port","FTP服务器 - 端口"
"FTP-Server: Username","FTP服务器 - 用户名"
"FTP-Server: Password","FTP服务器 - 密码"
"FTP-Server: Path","FTP服务器 - 路径"
"Use SSL upload","使用SSL方式上传"
"Leave empty to use magento directory, or use an absolute path (no trailing slash!)",""
"xml, csv or custom","xml, csv 或自定义"
"Valid order status are: canceled, closed, complete, holded, new","可用的订单状态为：canceled, closed, complete, holded, new"
"Normally: 21","默认21"
"This path has to exist on the FTP server, with trailing slash. -- Ex: /htdocs/","该地址存在于FTP服务器上 以"/"结尾 -- 例如: /htodcs/"
"Only available if PHP is compiled with OpenSSL support!","只有PHP以OpenSSL支持方式编译才可用"
"Delete","删除"
"Yes","是"
"No","否"
"Files","文件"
"Type","类型"
"Order Count","订单数"
"FTP-Upload","FTP上传"
"Auto-Export","自动导出"
"Downloaded","已下载"
"Page","页次"  
"of %s pages","共%s页" 
"View","每页" 
"per page","个记录" 
"Total %d records found","共有%d个记录"   